Year,Forecast,Lower_95,Upper_95
2025,33.723090241446286,31.216105611722273,36.2300748711703
2026,34.654675912892564,30.91744509303131,38.39190673275382
2027,35.58626158433884,30.78565184074274,40.38687132793495
2028,36.51784725578512,30.728033945288455,42.30766056628179
2029,37.4494329272314,30.711834386967283,44.187031467495515
2030,38.38101859867768,30.72165643352522,46.040380763830136
2031,39.312604270123956,30.749088091557546,47.876120448690365
2032,40.244189941570234,30.789071598094413,49.69930828504606
2033,41.17577561301651,30.838354438892537,51.51319678714049
2034,42.10736128446279,30.894737266178105,53.319985302747476
