Year,Forecast,Lower_95,Upper_95
2025,221.15793423797007,221.12929802529908,221.18657045064106
2026,231.01576999954395,230.94210472850546,231.08943527058244
2027,237.29420464169573,237.1836813669387,237.40472791645274
2028,243.31206527161112,243.17726600386538,243.44686453935685
2029,252.8127898485286,252.6510658120218,252.9745138850354
2030,263.86318727262733,263.657112209486,264.06926233576866
2031,272.0043870386882,271.7444833435362,272.2642907338402
2032,277.5191780116769,277.2139769671367,277.8243790562171
2033,284.9709848779025,284.62704785262684,285.3149219031781
2034,295.7660772798605,295.37551129526554,296.15664326445545
