Year,Forecast,Lower_95,Upper_95
2025,739.8728081025849,702.6813800778654,777.0642361273045
2026,770.9991964273005,715.9924354093798,826.0059574452212
2027,819.9619234093452,727.2085893747246,912.7152574439658
2028,852.6886055681291,729.6876250165807,975.6895861196775
2029,900.1946186516831,733.5580339656146,1066.8312033377515
2030,934.2473169063121,728.4227129059059,1140.0719209067183
2031,980.546285361362,725.6471435105119,1235.445427212212
2032,1015.6977310141301,714.3935990443852,1317.001862983875
2033,1060.9965327674618,705.5967328337417,1416.3963327011818
2034,1097.0584091824958,689.0792799874735,1505.037538377518
