Year,Forecast,Lower_95,Upper_95
2025,1622.5958849007698,1622.4476704414342,1622.7440993601053
2026,1761.993543694033,1761.687954709614,1762.299132678452
2027,1854.8808093649127,1854.4898836855457,1855.2717350442797
2028,1933.2996625771386,1932.8201965483258,1933.7791286059514
2029,2061.078134263964,2060.425612632053,2061.730655895875
2030,2193.604157731572,2192.766958599269,2194.4413568638747
2031,2275.8357592258617,2274.8648958061713,2276.806622645552
2032,2363.2247344976327,2362.101744579152,2364.347724416113
2033,2499.8922706063786,2498.5522220044336,2501.2323192083236
2034,2621.697604146131,2620.1502060292896,2623.245002262973
