Year,Forecast,Lower_95,Upper_95
2025,277.986007253826,274.77879821357743,281.1932162940746
2026,290.1719949084294,285.61803811605097,294.7259517008078
2027,314.5668414897943,306.7000795188398,322.43360346074877
2028,326.85103309190447,316.66807612494716,337.0339900588618
2029,351.148465645227,337.13846076181716,365.1584705286369
2030,363.529287709761,346.48994158615307,380.5686338333689
2031,387.7308670635404,366.4013110377229,409.0604230893579
2032,400.2067713167775,375.26372256896326,425.1498200645918
2033,424.31403329094246,394.65975998942776,453.96830659245717
2034,436.8834962665722,403.1104485065324,470.656544026612
