Year,Forecast,Lower_95,Upper_95
2025,351.9591202324415,304.0232122859442,399.89502817893873
2026,359.57031226488294,287.6614451925569,431.47917933720896
2027,367.1815042973244,274.3409600441148,460.022048550534
2028,374.7926963297659,262.349107229292,487.2362854302398
2029,382.40388836220734,251.08849566341303,513.7192810610017
2030,390.0150803946488,240.28149523393674,539.7486655553608
2031,397.62627242709027,229.77792359862497,565.4746212555556
2032,405.23746445953174,219.4882723319604,590.9866565871031
2033,412.8486564919732,209.3554280586641,616.3418849252823
2034,420.45984852441467,199.34103858446468,641.5786584643647
