Year,Forecast,Lower_95,Upper_95
2025,572.263750699,572.1983808417388,572.3291205562612
2026,580.7609747494164,580.6819947329592,580.8399547658736
2027,589.2495682200885,589.155501346463,589.3436350937139
2028,592.87646269191,592.7592230621856,592.9937023216344
2029,594.4394394138558,594.2698928921376,594.608985935574
2030,605.1666871732646,604.9762535122192,605.35712083431
2031,611.3688401275544,611.1483796849642,611.5893005701447
2032,613.5012704281183,613.2406349147764,613.7619059414603
2033,617.832829334689,617.5211056106621,618.1445530587159
2034,629.1620043493674,628.82317542809,629.5008332706448
