Year,Forecast,Lower_95,Upper_95
2025,4.398888436856541,4.396545597156946,4.401231276556135
2026,4.1629718479950455,4.160702672536333,4.165241023453758
2027,3.9484583434723493,3.9456702627954727,3.9512464241492258
2028,3.608607560028134,3.605683564733735,3.6115315553225336
2029,3.4397436036638744,3.436800887383147,3.442686319944602
2030,3.283070345692829,3.2794081805880038,3.286732510797654
2031,3.385167027462672,3.381515813880087,3.388818241045257
2032,3.5143303890059396,3.5101081462258468,3.5185526317860325
2033,3.839669529178136,3.8354794460817305,3.843859612274542
2034,4.069461310582988,4.065169064315686,4.07375355685029
