Year,Forecast,Lower_95,Upper_95
2025,2.5394506469756775,2.390796478684233,2.688104815267122
2026,2.6740363059635164,2.341635480475629,3.0064371314514036
2027,2.8086219649513553,2.2524089979409565,3.364834931961754
2028,2.943207623939194,2.128995211252212,3.7574200366261765
2029,3.077793282927033,1.9753444644956046,4.180242101358462
2030,3.212378941914872,1.7943085554040012,4.630449328425743
2031,3.346964600902711,1.5880647606460363,5.105864441159386
2032,3.48155025989055,1.3583440518892789,5.604756467891821
2033,3.616135918878389,1.1065647193332704,6.125707118423508
2034,3.7507215778662277,0.8339161706963902,6.667526985036066
