Year,Forecast,Lower_95,Upper_95
2025,136.04188175615155,136.03575189105166,136.04801162125145
2026,135.20949563933212,135.20178071748632,135.21721056117792
2027,132.98448625153407,132.97320183348677,132.99577066958136
2028,129.83952692350712,129.82764146837624,129.851412378638
2029,126.57731440640475,126.5646303898607,126.58999842294881
2030,123.9170690104049,123.90422799614008,123.92991002466972
2031,122.54616530361587,122.53318576336578,122.55914484386595
2032,122.73479494983303,122.71986036867513,122.74972953099093
2033,124.49348007713891,124.47770405426368,124.50925610001414
2034,127.34926971357116,127.33175543868376,127.36678398845856
