Year,Forecast,Lower_95,Upper_95
2025,75.6978855628903,75.53068824400107,75.86508288177954
2026,79.17472275279846,78.87434041778775,79.47510508780917
2027,82.63686637391521,82.14112167208731,83.13261107574311
2028,86.09900999503196,85.45403502492061,86.74398496514331
2029,89.56115361614872,88.78591465220218,90.33639258009525
2030,93.02329723726547,92.12839655962686,93.91819791490407
2031,96.48544085838222,95.4776590253862,97.49322269137824
2032,99.94758447949897,98.83160838322604,101.0635605757719
2033,103.40972810061572,102.18896657908884,104.6304896221426
2034,106.87187172173248,105.54889456626975,108.1948488771952
