Year,Forecast,Lower_95,Upper_95
2025,203.39734054020298,196.00844318260306,210.7862378978029
2026,206.22269228040594,195.47024894937323,216.97513561143865
2027,209.0480440206089,195.5181597807834,222.5779282604344
2028,211.87339576081186,195.84454485706706,227.90224666455666
2029,214.69874750101482,196.33536039224356,233.06213460978609
2030,217.52409924121778,196.93459683720843,238.11360164522713
2031,220.34945098142074,197.61038772072004,243.08851424212145
2032,223.1748027216237,198.34284308167136,248.00676236157605
2033,226.00015446182667,199.1187233007401,252.88158562291324
2034,228.82550620202963,199.92878613965055,257.72222626440873
