Year,Forecast,Lower_95,Upper_95
2025,8.280339866,7.9455600863925255,8.615119645607475
2026,8.280339866,7.806889761265773,8.753789970734227
2027,8.280339866,7.700484278364879,8.860195453635122
2028,8.280339866,7.610780306774316,8.949899425225684
2029,8.280339866,7.531749521292487,9.028930210707513
2030,8.280339866,7.46030022974567,9.10037950225433
2031,8.280339866,7.39459582516938,9.16608390683062
2032,8.280339866,7.333439656523956,9.227240075476045
2033,8.280339866,7.276000527158493,9.284679204841508
2034,8.280339866,7.221673247850822,9.339006484149179
