Year,Forecast,Lower_95,Upper_95
2025,5.821566962649194,5.81831961093009,5.8248143143682976
2026,5.499824813185212,5.496679988718899,5.502969637651525
2027,5.184594691607822,5.180725924774116,5.188463458441529
2028,4.733981223756018,4.729931216949336,4.7380312305627
2029,4.495131536160808,4.491054405545552,4.499208666776064
2030,4.306027364594029,4.300959687600515,4.311095041587543
2031,4.443300915658169,4.438247585175577,4.44835424614076
2032,4.644405631527695,4.638553209793859,4.650258053261531
2033,5.080936381519989,5.07513208707297,5.086740675967008
2034,5.410436979787921,5.40448455079475,5.416389408781091
