Year,Forecast,Lower_95,Upper_95
2025,26.492027562260564,26.460511881707728,26.5235432428134
2026,28.95446874711112,28.874363092039857,29.034574402182386
2027,31.147250937447158,31.028359876262837,31.26614199863148
2028,32.480417776736246,32.33596352590253,32.624872027569964
2029,33.79357367280244,33.61934471013468,33.96780263547019
2030,35.959103276956064,35.73565774856186,36.182548805350265
2031,38.431705632540215,38.150715790777106,38.712695474303324
2032,40.155852100164914,39.82760048064034,40.484103719689486
2033,41.3210304738222,40.95113208311577,41.69092886452862
2034,43.04597102565603,42.624031892788224,43.467910158523836
