Year,Forecast,Lower_95,Upper_95
2025,17.568619651951416,17.56590639059427,17.57133291330856
2026,17.371222673555526,17.36684044058679,17.37560490652426
2027,16.77709202950294,16.76878032311914,16.785403735886735
2028,15.936929753029656,15.926343373371484,15.947516132687827
2029,14.858046280833586,14.844347895315392,14.871744666351779
2030,13.744285899378742,13.729132802962653,13.75943899579483
2031,12.633301088422806,12.616626492022165,12.649975684823447
2032,11.732247038470481,11.715267269012276,11.749226807928686
2033,11.055581102994005,11.038401890381047,11.072760315606962
2034,10.762422548763645,10.745174445287843,10.779670652239448
