Year,Forecast,Lower_95,Upper_95
2025,19.375090212329283,19.240703765012643,19.509476659645923
2026,19.815274654658563,19.602427436616917,20.028121872700208
2027,20.255459096987842,19.96629837168808,20.544619822287604
2028,20.69564353931712,20.32839574865708,21.062891329977163
2029,21.1358279816464,20.687546547351715,21.584109415941086
2030,21.57601242397568,21.04332949684117,22.10869535111019
2031,22.01619686630496,21.39560298028497,22.63679075232495
2032,22.45638130863424,21.744345833474082,23.168416783794395
2033,22.896565750963518,22.089592639600504,23.703538862326532
2034,23.336750193292797,22.43140424442391,24.242096142161685
