Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CO2,Agriculture,IND,India,2.461956843,2.461956843,2.461956843,2.461956843,3.235937743,3.123266284,3.533356652,4.288689855,4.538232698,5.391046859,5.310694444,5.765989596,6.136689539,7.040522727,8.135284486,8.747093922,10.07552705,8.79072723,11.05557454,11.26829361,11.84306969,12.45666006,13.04133614,13.50674078,14.44069299,15.00855479,15.9662356,16.9928498,17.67464018,18.14774495,16.88478795,17.42630214,16.04407376,17.10709264,17.99494967,19.41237802,21.10506823,22.12681087,23.29432983,23.87659649,25.24122488,25.93925326,25.86015796,25.55865312,25.66236741,26.16071978,25.33881039,25.85743417,26.9100292,29.19320986,30.96908111,29.24464789,30.76898578,31.92101039,32.79150457
CO2,Buildings,IND,India,34.49667837,34.49667837,33.93921454,35.0237013,33.28314362,33.69188963,36.6181645,38.279694,40.69140963,47.7956995,45.35854914,54.22745031,55.52585261,60.84613763,73.5966219,66.46048806,59.99497931,63.06331522,73.44035523,73.32999871,84.70820991,92.36079922,91.59027246,91.00731454,100.4127687,104.4547775,108.8855438,118.031209,105.4976567,113.8176611,111.2211879,110.5897575,115.6783055,124.663535,127.2362809,127.4151075,128.1986077,124.9676552,168.8995207,150.906311,152.7381187,145.1619052,152.7685392,151.7426177,157.9292453,162.688865,168.3978977,173.2177553,179.4650614,181.3628677,178.194089,189.1576629,197.0060874,202.4992422,210.2358087
CO2,Fuel Exploitation,IND,India,20.20193102,20.31317517,20.86306833,20.84036669,22.20234317,22.18052327,22.79833153,23.32926186,22.22648957,22.23934207,22.59060722,24.28816954,25.29663643,26.62281306,27.22343514,28.85139381,30.41365729,31.22732464,32.49237042,32.73019109,33.47608421,34.32238063,33.96141831,36.1392461,42.2359576,42.77422657,43.40081252,41.01151796,39.1179186,47.94755784,50.08735286,49.54867886,53.9715346,57.13212371,69.52928238,68.28128426,74.61991337,63.92840637,56.28338291,50.83760426,56.04954115,64.11694025,75.14760635,75.98288889,80.82392173,83.30251677,87.76601664,94.40922507,98.03441938,104.5866545,102.1683647,102.5132323,104.4866832,113.1418007,116.9832631
CO2,Industrial Combustion,IND,India,62.5106339,62.5106339,65.16340891,63.34733738,69.05923447,75.43855308,80.55490978,82.69542541,79.66484098,79.94156912,83.33716616,88.87604519,101.7162014,102.6711461,112.9777464,114.0934898,133.0815101,134.9777829,137.8077262,148.0397628,149.1103413,153.2047218,156.6539804,154.5325524,164.337006,156.7003086,156.9249226,173.1348739,182.5837713,187.7991692,193.553816,195.219513,208.9212958,199.6800898,209.5366404,233.8566249,261.6442815,296.738681,311.2233736,342.3512577,393.6459341,442.7166185,435.4143442,463.587183,500.0681802,516.4267595,530.4163056,559.9202744,569.7237076,554.5295432,516.7032185,592.5962243,607.114557,659.9569713,689.1520555
CO2,Power Industry,IND,India,32.86320176,32.86320176,37.04248383,38.52753625,45.90725899,51.29648701,58.38041287,56.84053659,50.66643281,59.96019264,72.93119542,82.80576986,92.3892511,103.9686412,113.9739321,131.5581436,150.4520739,173.7796601,181.9395466,201.0127181,215.751155,242.1354718,261.8936433,289.3531545,301.6160812,345.8271313,368.5340976,381.0101928,396.0836504,431.0680766,459.1438037,471.9481104,479.4057029,501.5984331,548.3213625,561.4034995,596.7300921,658.4643626,685.7280681,757.5761734,784.6339092,818.710497,944.3893406,964.9427443,1082.153503,1069.12903,1055.826264,1111.957873,1186.750068,1178.956924,1083.281003,1185.765888,1327.13034,1432.914173,1506.826409
CO2,Processes,IND,India,16.3383342,16.72067091,17.73789958,16.91869632,16.06560095,17.59919901,19.44307181,19.58317751,20.12062441,19.92906544,18.74642623,22.01049079,22.92265652,23.76728843,27.08456819,28.96331755,30.85348226,32.81839049,36.60358232,39.28304807,41.40829672,44.97108167,43.96914972,46.65741863,49.99586981,53.39009855,55.97502606,61.69838593,70.86236486,69.4996121,70.91013218,73.34722678,79.32631398,83.30670379,87.38673503,91.95471353,96.73268981,106.0631065,111.1319659,116.9197814,124.8265403,139.7086746,160.1898354,164.5526077,155.2803634,162.7738623,174.8449228,184.6064246,190.1450615,194.2967257,176.9637115,203.5653399,216.8115166,241.4059758,253.4921604
CO2,Transport,IND,India,43.92337518,43.92337518,44.18107548,42.92701074,46.10151922,47.81908724,47.20230462,48.60894534,50.25880179,52.96881664,55.29691439,56.00952649,47.91132551,49.67551884,49.86478941,52.73233569,53.72108241,56.77108872,58.95357308,64.45441123,64.38402495,66.92937431,68.54660087,68.55079665,70.8109987,78.29007851,83.80170807,85.80199649,88.77553398,93.31443927,95.08983443,94.91844166,97.7373583,99.52600029,108.0512238,115.4036643,120.648077,142.9764417,163.2097392,178.7119275,192.9188841,209.2898518,221.5177381,226.2589181,235.7471529,257.7478525,269.3869018,291.2324751,305.6905646,308.5591731,268.6795239,295.0913281,323.7623051,332.6834517,344.3479282
GWP_100_AR5_CH4,Agriculture,IND,India,348.4867235,352.3580493,351.4367073,358.6057504,358.9468748,369.132344,368.070216,379.8535167,385.9210745,384.7319624,397.415589,404.5383283,405.9656017,422.8932223,427.4929459,434.4819136,440.3260154,437.4053488,454.1766246,461.89537,457.4546899,462.0123239,466.2268427,470.3786162,473.464164,475.7560694,479.1122047,480.7392977,484.484773,486.3930624,485.1736713,487.5964604,479.306105,484.3622584,489.9572531,501.9948301,509.7224504,519.9606253,523.4791951,515.9341519,519.7860538,524.1317771,521.738001,525.1112212,525.5590174,528.1427375,533.1174552,535.7919053,539.9491812,541.6915968,550.9323132,551.1906041,556.7311265,565.9067139,572.2698701
GWP_100_AR5_CH4,Buildings,IND,India,21.33191754,21.33191754,21.79904251,22.3628023,22.85569206,23.3567117,24.01079514,24.56028464,25.08445176,26.04476447,26.41066413,26.86887438,27.26773714,28.07065137,29.24643683,29.3820552,29.55933127,30.22656569,31.30813951,31.86791188,33.14509406,33.61149934,33.63747326,33.64968662,34.06335552,34.30174131,34.59683691,35.06626606,34.21444275,34.71841976,34.85241166,34.39980986,34.85832613,35.24158439,35.71698458,35.98660948,35.95895363,35.8808928,39.72949424,37.98018112,38.05519181,37.42854658,37.92538703,37.65826903,37.74864162,37.63041321,37.65736042,37.66476408,37.65244469,37.61821105,37.52139972,37.62467445,37.61479043,37.63924495,37.74382385
GWP_100_AR5_CH4,Fuel Exploitation,IND,India,31.37258199,31.24886527,32.52710178,31.98330194,34.49208678,37.61452686,37.75512583,37.61775998,37.34016868,37.08626319,39.67695719,44.77062254,46.96929298,49.64930978,52.26685832,54.71991161,64.99980714,74.28955553,85.53188326,94.03478141,55.91383683,57.84471712,55.89093433,52.6722489,53.37237468,57.50810269,58.79272451,62.54111074,59.47440614,60.49327727,61.70999975,62.92011253,63.44506063,67.08814981,69.44684801,71.54584683,73.66630691,77.57997968,82.58286707,89.0448316,89.40301378,92.17131554,95.27625146,64.14011868,68.35817689,71.20654459,72.26028495,72.02984552,77.44573258,74.15179287,69.78836096,79.14885911,90.03619322,101.9911498,108.1151139
